team,season_year,games_played,avg_points,avg_3pm,avg_assists,avg_steals,avg_blocks,avg_def_reb,avg_turnovers,win_pct,rank_offense,rank_defense
Boston Celtics,2023,103,117.3,15.7,25.9,6.5,5.8,35.8,13.1,69.9,7,3
Philadelphia 76ers,2023,94,116.9,12.6,24.8,8.2,5.2,32.5,12.9,68.1,8,10
Denver Nuggets,2023,106,114.8,11.8,28.6,7.5,4.8,33.3,13.1,67.9,14,12
Minnesota Timberwolves,2023,87,114.6,12.8,26.4,7.7,5.8,33.5,15.4,64.4,15,5
Oklahoma City Thunder,2023,84,119.8,12.8,25.5,8.3,4.6,32.2,12.3,59.5,4,19
Sacramento Kings,2023,91,119.4,14.3,27.5,7.1,3.9,32.9,13.1,57.1,5,24
New York Knicks,2023,92,114.3,12.8,22.5,6.8,3.8,33.2,13.0,56.5,16,25
Miami Heat,2023,107,110.5,12.2,24.4,7.4,3.2,31.6,13.2,56.1,28,28
Phoenix Suns,2023,93,114.1,11.3,26.7,7.1,5.7,33.2,14.0,55.9,17,8
Cleveland Cavaliers,2023,85,111.3,11.9,26.0,7.7,4.9,31.2,13.4,55.3,26,26
Los Angeles Lakers,2023,104,115.5,10.9,25.9,7.1,5.4,35.7,13.8,54.8,11,1
Los Angeles Clippers,2023,84,116.0,12.3,24.6,7.8,4.7,32.7,13.3,53.6,10,18
Golden State Warriors,2023,95,118.5,15.9,29.2,7.4,3.9,34.6,15.6,52.6,6,9
Orlando Magic,2023,80,112.6,10.7,24.6,8.1,5.1,33.0,14.7,52.5,23,7
Toronto Raptors,2023,82,113.9,11.2,26.8,8.7,5.2,31.6,12.6,48.8,18,13
Atlanta Hawks,2023,90,120.5,12.5,25.8,7.7,4.7,32.7,13.7,47.8,2,19
Memphis Grizzlies,2023,90,113.0,12.7,25.5,8.2,5.9,33.3,13.7,47.8,19,4
Chicago Bulls,2023,87,111.0,10.9,24.1,8.1,4.5,32.8,12.7,47.1,27,16
New Orleans Pelicans,2023,84,113.0,10.9,25.8,8.2,4.3,33.0,14.2,46.4,19,13
Dallas Mavericks,2023,81,116.5,15.4,24.2,6.1,3.9,31.7,12.2,45.7,9,30
Brooklyn Nets,2023,86,112.9,13.5,25.3,6.8,5.6,32.7,13.1,43.0,21,19
Utah Jazz,2023,80,115.2,12.6,26.5,6.0,5.8,34.7,15.9,42.5,12,6
Indiana Pacers,2023,81,120.4,13.5,28.6,7.6,6.2,30.8,14.4,42.0,3,23
Houston Rockets,2023,81,111.9,10.6,23.8,7.4,4.5,33.6,14.6,38.3,25,13
Washington Wizards,2023,80,115.0,12.0,26.5,7.3,5.0,33.0,14.0,33.8,13,17
Charlotte Hornets,2023,79,110.3,10.9,25.2,7.4,5.2,33.0,14.3,31.6,29,11
Portland Trail Blazers,2023,81,112.5,12.7,23.5,7.8,4.8,29.6,14.4,29.6,24,28
San Antonio Spurs,2023,83,112.9,11.9,28.2,7.1,4.7,33.2,15.1,21.7,21,22
Detroit Pistons,2023,79,110.0,10.8,24.6,6.8,4.5,31.8,16.0,15.2,30,27
Boston Celtics,2022,110,114.4,14.8,26.2,6.6,5.7,35.3,14.0,69.1,7,4
Memphis Grizzlies,2022,97,116.6,11.5,25.8,8.8,6.4,35.3,14.0,66.0,2,1
Phoenix Suns,2022,100,114.9,12.0,27.4,7.8,4.8,33.0,13.1,65.0,4,16
Philadelphia 76ers,2022,98,111.5,12.3,24.2,7.9,4.8,33.1,13.6,64.3,18,14
Dallas Mavericks,2022,105,110.2,14.6,22.2,7.0,3.8,32.1,12.3,63.8,24,30
Denver Nuggets,2022,94,116.4,12.2,28.6,7.2,3.8,34.0,15.4,61.7,3,20
Miami Heat,2022,106,109.6,12.9,24.5,8.1,3.4,32.4,14.0,60.4,26,26
Milwaukee Bucks,2022,97,113.9,13.2,23.9,7.1,4.4,37.0,14.2,58.8,10,2
Golden State Warriors,2022,112,113.1,14.6,27.5,7.7,4.2,34.6,15.2,57.1,13,7
New Orleans Pelicans,2022,96,114.2,10.5,25.5,8.7,4.2,33.1,14.4,56.3,9,10
Toronto Raptors,2022,97,110.9,11.2,22.2,9.1,4.8,31.4,12.4,55.7,20,17
Minnesota Timberwolves,2022,96,117.6,13.3,26.2,8.7,5.5,33.5,14.9,55.2,1,3
Cleveland Cavaliers,2022,89,109.1,11.3,24.2,6.8,4.1,32.9,14.2,53.9,28,27
Atlanta Hawks,2022,94,114.6,12.0,24.3,7.1,4.3,33.3,12.4,52.1,6,23
Los Angeles Clippers,2022,89,110.3,12.9,23.9,6.9,5.1,34.6,14.2,51.7,23,6
Brooklyn Nets,2022,94,113.8,11.6,25.5,7.3,6.0,32.5,14.6,51.1,11,14
New York Knicks,2022,87,110.9,12.6,23.0,7.0,4.5,34.5,13.4,48.3,20,10
Utah Jazz,2022,96,112.8,13.8,23.5,7.0,4.6,33.5,14.4,46.9,14,18
Sacramento Kings,2022,83,114.3,12.3,25.8,7.3,3.8,33.3,14.3,45.8,8,24
Chicago Bulls,2022,94,112.4,10.4,24.3,7.2,4.1,33.8,13.6,45.7,17,19
Washington Wizards,2022,88,110.5,10.8,25.4,6.7,5.4,33.8,13.4,38.6,22,13
Charlotte Hornets,2022,89,112.7,12.1,26.7,8.1,4.8,33.6,13.9,38.2,15,7
Indiana Pacers,2022,87,114.8,13.5,26.8,7.4,5.7,31.7,15.0,37.9,5,22
Portland Trail Blazers,2022,86,107.5,12.4,23.4,7.6,4.3,31.8,15.3,37.2,30,28
San Antonio Spurs,2022,90,112.6,11.4,27.1,7.3,4.6,32.5,14.2,36.7,16,24
Orlando Magic,2022,88,107.7,11.6,23.8,7.0,4.6,34.8,15.1,36.4,29,9
Los Angeles Lakers,2022,87,113.4,11.3,24.1,6.9,4.8,34.3,14.5,35.6,12,10
Oklahoma City Thunder,2022,87,110.2,12.0,23.7,8.1,4.9,33.9,14.6,33.3,24,5
Detroit Pistons,2022,92,109.3,11.6,23.6,7.0,4.3,32.0,14.2,30.4,27,29
Houston Rockets,2022,86,111.2,13.0,23.0,7.5,4.5,32.9,16.6,26.7,19,21
Utah Jazz,2021,118,116.4,16.4,23.1,6.7,5.2,37.0,14.3,71.2,1,5
Phoenix Suns,2021,128,113.5,12.2,26.1,7.6,4.2,34.9,12.9,71.1,4,17
Brooklyn Nets,2021,116,115.3,13.3,25.9,6.8,5.3,35.6,13.6,67.2,3,8
Milwaukee Bucks,2021,132,115.4,13.7,24.2,7.9,4.5,37.1,13.7,64.4,2,2
Golden State Warriors,2021,109,113.0,14.8,28.0,8.7,4.8,35.7,15.5,63.3,6,3
Philadelphia 76ers,2021,118,112.0,11.3,23.5,8.8,6.1,34.2,13.6,61.9,11,4
Denver Nuggets,2021,116,112.0,13.1,26.2,7.8,4.4,34.0,13.4,58.6,11,21
Miami Heat,2021,114,107.7,13.1,25.7,7.6,3.8,33.6,14.2,57.9,25,29
Los Angeles Clippers,2021,126,110.8,13.6,23.5,7.2,4.3,34.6,13.3,57.1,17,22
Dallas Mavericks,2021,114,110.2,13.3,23.2,6.4,4.2,34.3,12.1,57.0,22,30
Memphis Grizzlies,2021,118,112.3,11.4,26.0,9.5,5.5,35.0,13.4,55.9,9,1
New York Knicks,2021,112,106.4,12.4,21.3,6.9,5.0,35.3,12.8,54.5,26,12
Chicago Bulls,2021,104,110.7,12.1,25.9,7.2,4.5,35.1,14.2,53.8,20,16
Atlanta Hawks,2021,125,111.0,12.2,23.4,7.0,4.6,34.7,12.8,52.8,15,19
Los Angeles Lakers,2021,117,108.6,11.2,24.1,8.1,5.4,35.1,15.4,51.3,23,6
Portland Trail Blazers,2021,113,113.2,14.8,21.6,7.0,4.9,33.8,12.4,48.7,5,25
Washington Wizards,2021,113,113.0,10.0,24.7,6.9,4.6,35.5,13.9,47.8,6,14
Boston Celtics,2021,113,110.8,13.2,23.1,7.5,5.5,34.1,14.1,47.8,17,13
Charlotte Hornets,2021,109,110.8,13.7,26.5,8.2,5.0,33.1,14.3,46.8,17,20
San Antonio Spurs,2021,108,110.9,10.3,25.5,7.3,5.0,34.9,11.9,44.4,16,11
Sacramento Kings,2021,108,112.2,12.2,24.4,7.6,4.9,32.7,13.6,43.5,10,28
Indiana Pacers,2021,109,112.6,12.1,26.2,8.0,6.3,34.1,13.8,43.1,8,7
Toronto Raptors,2021,105,110.3,13.6,23.4,8.9,5.2,31.9,13.1,41.9,21,23
New Orleans Pelicans,2021,106,111.5,10.9,25.6,7.4,4.3,35.2,14.7,39.6,13,15
Cleveland Cavaliers,2021,108,104.7,10.8,24.2,7.6,4.4,33.3,15.5,38.0,27,27
Minnesota Timberwolves,2021,107,111.2,13.5,25.1,8.9,5.6,33.1,14.6,37.4,14,9
Oklahoma City Thunder,2021,107,103.6,11.9,21.5,7.1,4.4,35.8,15.2,32.7,29,10
Detroit Pistons,2021,105,104.4,11.3,23.3,7.6,5.1,32.7,15.1,25.7,28,26
Houston Rockets,2021,109,107.8,13.4,23.3,7.5,5.0,33.5,15.7,24.8,24,23
Orlando Magic,2021,107,102.4,11.4,21.8,6.8,4.8,34.8,13.7,23.4,30,18
Los Angeles Lakers,2020,71,114.2,11.6,24.8,8.3,5.5,35.0,15.4,71.8,8,5
Toronto Raptors,2020,59,111.4,14.6,25.2,8.9,4.9,35.8,15.0,71.2,17,3
Los Angeles Clippers,2020,61,114.7,13.0,23.4,6.5,4.4,36.3,13.8,62.3,5,14
Oklahoma City Thunder,2020,56,110.2,11.8,21.5,7.5,4.8,36.1,14.4,60.7,21,7
Milwaukee Bucks,2020,59,116.5,13.7,25.2,6.9,5.2,40.8,15.3,59.3,4,1
Utah Jazz,2020,56,113.1,14.4,22.6,6.2,3.8,34.8,14.4,58.9,12,24
Boston Celtics,2020,68,112.6,12.4,22.6,8.3,5.1,35.3,14.3,57.4,13,6
New Orleans Pelicans,2020,48,117.0,12.8,27.5,7.8,5.0,36.1,16.7,56.3,2,4
Miami Heat,2020,70,110.5,13.6,26.1,7.1,4.4,34.8,14.2,54.3,20,19
Indiana Pacers,2020,54,109.4,10.6,25.8,8.3,5.0,33.4,13.9,53.7,23,16
Houston Rockets,2020,60,114.5,16.0,21.9,9.2,4.9,33.5,14.5,53.3,6,11
Philadelphia 76ers,2020,51,109.7,11.7,24.3,7.6,5.2,35.0,13.8,52.9,22,9
Denver Nuggets,2020,69,112.0,11.6,25.7,7.6,4.7,32.9,14.4,52.2,15,22
Phoenix Suns,2020,52,111.6,11.2,25.8,7.9,4.1,34.2,15.1,51.9,16,20
Memphis Grizzlies,2020,51,113.9,11.1,26.5,8.1,5.7,37.5,15.4,51.0,10,2
Dallas Mavericks,2020,58,116.9,14.9,24.2,6.0,4.6,35.7,12.3,50.0,3,18
Sacramento Kings,2020,50,114.0,13.0,24.8,7.9,3.9,34.3,14.2,50.0,9,21
Orlando Magic,2020,57,110.8,11.8,24.5,8.0,4.2,34.8,13.0,47.4,19,15
Brooklyn Nets,2020,54,112.4,13.8,25.0,6.7,4.5,36.4,15.0,46.3,14,12
Portland Trail Blazers,2020,57,114.4,13.1,21.0,7.0,5.5,34.1,12.9,45.6,7,17
Atlanta Hawks,2020,41,117.4,13.4,24.8,7.0,4.9,35.4,15.5,43.9,1,13
San Antonio Spurs,2020,49,113.5,11.2,24.7,7.6,5.4,35.0,12.6,42.9,11,8
New York Knicks,2020,42,106.6,8.8,23.3,7.8,4.9,35.0,15.1,40.5,26,10
Chicago Bulls,2020,40,109.2,12.1,23.8,9.4,3.9,31.3,16.0,35.0,24,25
Cleveland Cavaliers,2020,41,108.7,11.5,25.0,7.2,3.5,33.5,17.5,34.1,25,27
Washington Wizards,2020,51,111.4,11.4,23.8,8.1,4.3,32.6,14.9,31.4,17,23
Detroit Pistons,2020,40,105.5,11.9,23.2,8.0,4.1,32.3,15.3,25.0,27,26
Milwaukee Bucks,2019,102,118.5,13.5,26.0,7.7,6.1,41.3,14.1,78.4,1,1
Toronto Raptors,2019,106,112.3,13.0,25.3,8.5,5.1,35.9,14.2,67.9,10,3
Houston Rockets,2019,96,117.2,16.5,21.1,8.8,4.9,33.8,14.1,66.7,2,17
Boston Celtics,2019,90,111.3,12.1,25.0,8.2,5.5,35.4,13.5,66.7,15,6
Denver Nuggets,2019,99,109.8,10.7,26.6,7.4,4.4,34.4,13.1,65.7,21,24
Philadelphia 76ers,2019,97,112.4,10.5,26.5,7.9,5.6,36.6,15.4,62.9,9,2
Utah Jazz,2019,87,111.5,12.5,24.5,6.9,5.3,37.2,15.3,62.1,13,4
Los Angeles Clippers,2019,90,114.0,10.9,24.4,7.8,4.7,35.5,15.0,58.9,6,12
Miami Heat,2019,85,108.5,11.6,25.2,7.8,4.6,35.7,15.6,58.8,22,11
Portland Trail Blazers,2019,99,114.2,11.6,22.0,6.5,5.7,35.5,13.5,55.6,5,15
Indiana Pacers,2019,87,108.4,10.0,25.9,7.7,4.8,33.9,13.3,55.2,23,22
