team,season_year,games_played,avg_points,avg_3pm,avg_assists,avg_steals,avg_blocks,avg_def_reb,avg_turnovers,win_pct,rank_offense,rank_defense
Toronto Raptors,2016,107,104.2,8.7,18.6,8.2,5.1,31.7,12.6,66.4,11,23
Oklahoma City Thunder,2016,105,108.5,8.6,22.5,7.4,5.3,35.2,15.6,62.9,3,4
Los Angeles Clippers,2016,96,105.2,10.0,22.1,8.8,5.1,33.7,13.0,61.5,10,5
Houston Rockets,2016,94,110.3,12.3,23.7,9.0,5.0,32.8,15.8,59.6,2,9
Boston Celtics,2016,97,105.9,9.6,24.2,8.5,4.3,33.0,13.2,58.8,6,18
Charlotte Hornets,2016,99,102.4,9.7,21.5,6.9,4.9,35.2,12.2,56.6,15,8
Utah Jazz,2016,90,98.5,8.9,19.4,7.0,5.3,33.8,14.7,55.6,30,17
Atlanta Hawks,2016,98,102.2,9.7,25.0,8.6,6.0,34.7,15.5,54.1,18,2
Memphis Grizzlies,2016,94,99.6,7.6,20.2,8.9,4.6,31.1,13.3,53.2,28,25
Portland Trail Blazers,2016,99,107.2,10.8,21.7,7.0,4.7,33.6,14.0,52.5,5,22
Washington Wizards,2016,91,105.6,8.3,24.1,8.9,3.9,32.8,14.2,51.6,7,21
Indiana Pacers,2016,97,102.4,7.8,21.9,8.7,5.3,34.0,14.5,50.5,15,3
Miami Heat,2016,107,100.3,7.1,20.7,6.7,6.0,34.5,13.9,47.7,25,7
Detroit Pistons,2016,94,100.1,8.4,20.6,6.6,3.7,33.8,12.8,46.8,26,27
Chicago Bulls,2016,93,101.6,7.3,22.4,6.5,5.5,34.2,13.8,46.2,21,14
Milwaukee Bucks,2016,86,101.2,6.4,23.4,8.3,5.7,32.6,14.8,45.3,22,11
Denver Nuggets,2016,90,105.4,8.3,22.8,7.2,4.5,34.5,15.2,43.3,8,14
Sacramento Kings,2016,88,105.4,8.2,23.4,9.0,4.5,32.9,15.4,42.0,8,12
New York Knicks,2016,88,101.9,8.2,21.4,6.5,5.7,34.0,13.6,42.0,20,14
New Orleans Pelicans,2016,91,103.3,8.6,22.9,7.8,4.5,34.4,13.1,38.5,14,10
Dallas Mavericks,2016,96,98.7,9.8,21.0,7.1,3.8,31.6,12.5,37.5,29,30
Minnesota Timberwolves,2016,89,103.8,6.9,23.3,8.1,4.8,31.0,15.1,37.1,13,28
Orlando Magic,2016,91,100.9,8.2,23.0,7.4,5.3,33.1,13.8,36.3,23,18
Phoenix Suns,2016,87,102.3,8.3,19.6,7.9,4.1,33.7,17.0,28.7,17,20
Los Angeles Lakers,2016,93,100.8,8.3,19.1,7.8,3.8,32.2,14.7,26.9,24,29
Brooklyn Nets,2016,88,102.1,8.9,22.1,7.6,4.0,32.5,15.8,23.9,19,26
Philadelphia 76ers,2016,87,99.8,10.0,22.7,8.2,5.7,32.4,16.0,19.5,27,13
Golden State Warriors,2015,112,110.0,11.6,27.3,8.8,6.0,34.4,14.7,81.3,1,1
San Antonio Spurs,2015,95,102.6,7.8,24.4,8.3,5.4,34.6,13.7,71.6,5,3
Cleveland Cavaliers,2015,107,101.3,10.5,21.3,7.1,4.4,33.6,14.5,66.4,9,22
Atlanta Hawks,2015,108,101.2,9.6,24.9,9.2,4.9,32.4,14.2,64.8,10,10
Oklahoma City Thunder,2015,87,107.6,7.9,21.4,7.7,5.8,35.0,15.1,64.4,2,2
Los Angeles Clippers,2015,103,105.3,9.2,23.9,7.9,5.2,33.6,13.2,63.1,4,8
Memphis Grizzlies,2015,102,95.5,5.0,20.8,8.7,4.2,32.2,13.8,59.8,28,22
Houston Rockets,2015,110,105.8,10.6,22.5,9.7,5.1,32.5,16.3,56.4,3,6
Chicago Bulls,2015,100,99.8,8.3,21.9,6.7,5.8,35.2,14.1,56.0,17,5
Indiana Pacers,2015,88,100.6,8.2,21.0,7.7,4.6,34.1,14.2,55.7,14,11
Boston Celtics,2015,94,100.9,8.6,23.8,8.5,3.9,33.0,14.1,54.3,12,17
Charlotte Hornets,2015,88,97.1,7.8,20.6,6.7,5.6,35.6,12.6,53.4,23,4
Toronto Raptors,2015,94,100.1,8.3,19.4,8.0,4.4,32.2,13.8,53.2,16,26
Miami Heat,2015,88,95.6,6.4,19.9,7.1,5.8,32.8,14.8,51.1,26,15
Dallas Mavericks,2015,93,101.7,8.7,21.7,7.6,4.0,33.6,13.7,50.5,7,19
Utah Jazz,2015,88,95.6,7.8,18.8,8.6,5.8,32.3,15.4,50.0,26,9
Detroit Pistons,2015,92,100.8,8.9,20.9,7.9,4.2,32.7,13.8,48.9,13,25
Washington Wizards,2015,97,99.8,7.4,23.6,7.6,4.3,34.1,15.3,48.5,17,14
New Orleans Pelicans,2015,93,99.7,8.0,21.7,6.8,5.8,32.8,14.0,45.2,19,17
Portland Trail Blazers,2015,96,101.4,9.8,20.8,6.3,4.1,34.8,14.3,44.8,8,21
Milwaukee Bucks,2015,95,96.9,6.2,23.4,9.1,5.5,31.6,16.0,43.2,24,13
Orlando Magic,2015,86,98.8,7.3,22.0,8.7,4.4,32.4,14.8,41.9,20,16
Phoenix Suns,2015,89,101.0,8.4,20.4,9.1,4.4,32.8,16.1,41.6,11,12
Brooklyn Nets,2015,94,98.0,6.2,21.2,7.5,4.1,32.7,14.4,38.3,22,27
Sacramento Kings,2015,88,102.2,6.9,22.0,7.7,4.1,33.4,16.5,37.5,6,19
Denver Nuggets,2015,90,100.4,8.2,22.2,8.0,4.4,32.6,14.5,36.7,15,24
New York Knicks,2015,86,93.7,7.0,21.0,6.7,5.5,32.0,14.6,34.9,29,28
Minnesota Timberwolves,2015,92,98.2,5.3,21.3,7.7,4.1,30.6,15.1,27.2,21,30
Los Angeles Lakers,2015,90,96.1,6.8,19.8,7.0,4.3,32.7,13.9,21.1,25,29
Philadelphia 76ers,2015,93,92.9,8.9,20.1,9.0,6.3,31.8,17.9,20.4,30,7
Golden State Warriors,2014,94,106.7,9.6,24.8,8.4,5.4,33.7,15.3,69.1,2,1
Houston Rockets,2014,93,105.6,10.4,20.8,8.3,5.0,33.1,16.5,67.7,5,3
Toronto Raptors,2014,99,103.5,8.9,21.3,7.2,3.9,30.9,13.3,67.7,10,28
Memphis Grizzlies,2014,97,98.5,5.2,22.1,8.1,4.5,31.0,13.3,67.0,22,20
San Antonio Spurs,2014,112,104.7,8.5,24.3,7.4,5.0,33.8,14.5,66.1,6,4
Chicago Bulls,2014,97,97.5,7.1,22.5,6.8,5.7,33.2,14.4,64.9,26,6
Los Angeles Clippers,2014,103,107.8,9.4,24.7,8.6,4.7,31.5,13.4,64.1,1,10
Portland Trail Blazers,2014,100,104.4,9.1,22.2,6.1,5.1,34.7,14.2,63.0,7,5
Dallas Mavericks,2014,99,106.4,9.2,23.2,7.9,4.5,30.8,12.9,61.6,3,23
Washington Wizards,2014,103,98.9,6.7,23.0,7.9,4.8,32.0,14.5,59.2,20,11
Brooklyn Nets,2014,99,98.2,8.4,20.8,8.5,3.8,29.9,14.4,57.6,23,25
Oklahoma City Thunder,2014,110,103.1,8.0,20.6,7.6,6.0,33.0,15.3,56.4,12,2
Phoenix Suns,2014,92,106.2,9.5,19.7,8.3,4.3,31.6,15.1,55.4,4,14
Miami Heat,2014,112,98.6,8.1,20.3,8.5,4.0,28.5,14.1,54.5,21,31
Charlotte Bobcats,2014,54,99.1,7.1,22.9,5.8,5.0,33.2,12.0,53.7,19,16
Atlanta Hawks,2014,95,100.0,9.5,24.3,8.1,4.2,31.3,15.1,52.6,15,20
Cleveland Cavaliers,2014,89,100.5,7.7,22.6,7.0,3.7,31.5,13.8,50.6,14,25
Indiana Pacers,2014,111,94.7,6.8,19.8,6.2,4.9,33.7,14.5,50.5,31,9
New Orleans Pelicans,2014,92,99.2,6.1,20.7,7.5,6.2,31.0,13.7,44.6,17,11
Denver Nuggets,2014,92,104.3,8.4,22.0,7.4,5.1,33.0,16.0,40.2,8,7
Minnesota Timberwolves,2014,88,104.3,6.1,23.6,9.0,4.1,31.0,14.3,39.8,8,15
New York Knicks,2014,93,97.6,8.4,20.4,7.3,4.2,29.6,14.1,38.7,25,30
Sacramento Kings,2014,90,101.1,5.4,18.6,6.5,4.0,33.2,16.1,36.7,13,19
Utah Jazz,2014,88,97.0,6.9,20.5,6.6,4.5,31.1,14.8,35.2,27,25
Detroit Pistons,2014,87,99.6,7.0,21.4,7.9,4.7,32.0,14.0,32.2,16,13
Boston Celtics,2014,88,99.2,7.6,23.5,8.0,3.9,31.3,15.3,31.8,17,23
Charlotte Hornets,2014,41,95.2,6.2,20.7,5.9,5.0,32.9,12.0,31.7,29,17
Orlando Magic,2014,93,95.3,6.6,20.8,7.3,4.1,32.2,15.1,31.2,28,20
Milwaukee Bucks,2014,91,97.8,6.7,22.3,7.3,4.5,29.7,15.9,30.8,24,29
Los Angeles Lakers,2014,90,103.5,8.1,23.9,7.9,5.0,30.9,14.2,30.0,10,17
Philadelphia 76ers,2014,90,94.9,6.8,20.6,9.9,4.6,30.5,17.7,17.8,30,8
Miami Heat,2013,115,101.5,8.5,22.8,9.2,5.2,29.5,14.3,78.3,6,15
San Antonio Spurs,2013,108,102.0,7.9,24.3,8.1,5.1,33.4,14.3,69.4,5,4
Oklahoma City Thunder,2013,100,104.2,7.1,21.1,8.0,7.0,34.4,15.3,69.0,3,1
Indiana Pacers,2013,107,96.2,7.0,20.0,7.2,5.6,33.2,15.5,65.4,22,6
Denver Nuggets,2013,93,104.3,6.6,23.4,9.0,5.9,31.8,15.4,62.4,2,2
Los Angeles Clippers,2013,98,101.2,7.8,23.4,8.5,5.0,30.9,14.6,60.2,9,13
Houston Rockets,2013,98,105.6,10.4,22.0,7.8,5.2,33.1,16.6,58.2,1,5
Memphis Grizzlies,2013,106,93.2,4.6,20.8,7.9,4.7,30.2,13.4,57.5,28,23
Dallas Mavericks,2013,90,102.2,7.9,23.9,8.5,5.4,32.1,13.9,56.7,4,6
Golden State Warriors,2013,103,101.2,8.6,22.5,7.3,4.8,34.6,16.0,53.4,9,2
Brooklyn Nets,2013,96,98.1,7.6,20.5,7.4,4.6,30.7,15.1,53.1,15,24
Chicago Bulls,2013,103,93.0,5.7,22.1,6.9,5.0,31.3,15.0,52.4,29,19
Portland Trail Blazers,2013,92,101.3,8.9,22.8,5.7,4.2,32.2,14.9,52.2,8,27
New York Knicks,2013,101,96.1,9.6,18.7,8.2,4.0,29.3,12.6,49.5,23,29
Toronto Raptors,2013,87,98.5,6.9,20.3,7.2,4.6,30.5,15.1,49.4,13,26
Los Angeles Lakers,2013,96,99.7,8.7,22.1,6.7,5.3,33.2,15.3,49.0,12,8
Atlanta Hawks,2013,98,98.4,8.5,24.7,8.1,4.3,32.1,15.3,46.9,14,10
Washington Wizards,2013,89,96.7,7.4,22.6,8.0,4.5,32.0,15.5,46.1,18,10
Boston Celtics,2013,96,95.2,6.6,20.9,7.6,4.7,31.5,15.4,45.8,27,17
Phoenix Suns,2013,86,97.5,7.1,21.4,8.3,5.2,31.4,16.9,43.0,16,9
Utah Jazz,2013,92,95.3,6.2,21.7,8.0,5.7,30.2,15.2,42.4,26,15
Detroit Pistons,2013,89,96.6,6.4,21.2,8.2,4.8,29.9,15.8,39.3,19,22
Minnesota Timberwolves,2013,92,99.8,6.4,22.7,8.9,3.9,30.3,14.4,39.1,11,20
New Orleans Hornets,2013,52,95.5,6.3,21.0,6.4,5.3,29.6,14.5,38.5,24,30
Sacramento Kings,2013,89,101.4,7.5,21.2,8.2,3.7,30.2,14.8,36.0,7,28
Charlotte Bobcats,2013,91,92.1,5.3,19.3,7.0,5.4,30.6,13.8,35.2,30,21
Cleveland Cavaliers,2013,89,96.9,6.3,20.7,7.7,4.6,30.2,14.7,34.8,17,25
Philadelphia 76ers,2013,87,96.6,6.7,23.2,7.9,4.4,31.7,15.4,34.5,19,14
Milwaukee Bucks,2013,94,96.6,7.5,22.1,7.8,6.0,30.7,15.1,31.9,19,10
Orlando Magic,2013,90,95.5,6.7,21.8,7.2,4.5,31.9,15.1,22.2,24,18
San Antonio Spurs,2012,115,104.0,8.6,23.9,7.8,4.7,32.7,14.3,73.9,1,5
Oklahoma City Thunder,2012,118,103.3,7.2,19.6,7.9,7.7,32.2,15.3,70.3,2,1
Miami Heat,2012,122,98.9,6.8,20.1,8.4,5.0,30.9,14.7,68.0,7,12
Chicago Bulls,2012,104,94.0,5.5,22.7,7.2,5.8,32.7,14.5,67.3,20,3
Los Angeles Clippers,2012,113,98.0,7.2,21.4,9.4,5.6,29.9,14.2,64.6,11,8
Memphis Grizzlies,2012,105,94.9,4.6,19.9,9.3,5.2,29.6,14.8,61.9,19,14
Indiana Pacers,2012,111,95.2,6.0,18.8,7.2,5.8,31.8,14.7,60.4,18,9
Atlanta Hawks,2012,104,96.1,7.8,22.3,8.3,4.5,31.1,14.4,58.7,17,16
New York Knicks,2012,103,98.4,8.8,20.0,9.1,3.9,30.1,14.8,57.3,8,20
Boston Celtics,2012,118,92.5,5.4,22.7,8.0,4.9,31.4,14.6,55.1,27,12
Denver Nuggets,2012,108,102.2,6.4,23.3,7.8,5.7,32.0,15.6,54.6,3,4
Houston Rockets,2012,100,100.9,8.2,22.0,8.0,4.5,31.3,15.3,54.0,4,18
Philadelphia 76ers,2012,113,92.8,5.6,21.6,7.8,5.2,31.7,11.7,53.1,25,10
Los Angeles Lakers,2012,111,97.8,6.5,21.7,6.3,5.6,33.2,15.2,52.3,12,6
Utah Jazz,2012,106,99.1,4.9,21.9,8.2,6.0,30.9,14.7,51.9,5,7
Dallas Mavericks,2012,103,96.4,7.3,21.0,8.3,5.3,32.6,14.7,48.5,16,2
Milwaukee Bucks,2012,100,97.8,6.5,23.1,8.4,6.0,30.1,14.2,48.0,12,11
Golden State Warriors,2012,100,99.1,8.0,22.5,7.7,5.0,31.0,14.6,47.0,5,19
Phoenix Suns,2012,101,98.3,6.7,22.6,7.1,5.6,30.2,14.2,46.5,10,21
Orlando Magic,2012,106,93.6,8.5,20.9,6.6,4.3,31.6,15.2,46.2,22,24
Minnesota Timberwolves,2012,96,96.7,6.7,20.2,7.2,4.8,31.9,15.3,45.8,15,17
Portland Trail Blazers,2012,99,96.9,7.5,20.3,8.1,4.8,29.3,14.7,43.4,14,25
Toronto Raptors,2012,100,93.3,6.3,21.1,6.9,5.0,30.8,14.4,38.0,23,23
Detroit Pistons,2012,103,92.3,5.2,19.2,6.8,4.6,29.6,15.7,37.9,28,28
Sacramento Kings,2012,99,98.4,6.5,19.6,8.6,4.9,29.4,14.5,37.4,8,21
New Jersey Nets,2012,62,93.7,7.8,20.1,7.6,4.0,28.3,15.0,33.9,21,30
New Orleans Hornets,2012,101,89.9,5.1,20.9,7.0,5.0,30.1,15.6,29.7,29,26
Cleveland Cavaliers,2012,101,93.1,7.1,19.6,7.5,3.7,29.2,15.6,28.7,24,29
Washington Wizards,2012,99,92.7,5.7,19.7,7.8,5.6,30.7,15.4,27.3,26,15
Charlotte Bobcats,2012,102,89.6,4.8,19.6,6.7,5.7,28.9,14.5,14.7,30,27
Chicago Bulls,2011,73,96.9,6.4,22.0,6.8,5.6,31.9,13.7,75.3,19,4
Miami Heat,2011,75,100.1,6.3,19.1,7.2,5.5,31.7,14.4,69.3,9,3
Oklahoma City Thunder,2011,72,104.3,6.6,19.9,7.3,6.6,32.8,15.0,66.7,3,1
Dallas Mavericks,2011,78,99.9,8.4,22.7,7.0,4.0,30.2,13.8,64.1,11,23
San Antonio Spurs,2011,62,101.1,7.6,21.2,6.7,4.3,31.5,13.7,62.9,7,16
Los Angeles Lakers,2011,66,98.3,5.7,21.3,6.8,5.4,31.2,12.9,62.1,17,12
Portland Trail Blazers,2011,60,96.9,6.5,20.9,7.8,4.3,27.8,12.7,61.7,19,29
Orlando Magic,2011,61,98.6,9.3,20.0,6.8,4.7,32.4,14.8,60.7,16,6
Boston Celtics,2011,66,94.6,5.3,22.3,8.0,4.3,30.1,14.9,60.6,25,17
Denver Nuggets,2011,62,107.3,7.8,22.4,8.1,4.4,32.9,13.9,59.7,1,2
Memphis Grizzlies,2011,68,99.2,3.4,20.5,8.9,5.7,29.6,13.8,58.8,15,5
Philadelphia 76ers,2011,60,99.7,5.8,23.1,7.7,4.1,31.9,12.8,55.0,13,8
New Orleans Hornets,2011,60,94.5,5.2,20.2,7.5,4.4,29.1,12.6,55.0,26,24
Houston Rockets,2011,56,105.0,8.3,23.6,6.9,4.1,31.1,12.8,53.6,2,20
Atlanta Hawks,2011,65,92.5,5.8,20.3,6.2,4.4,29.3,13.4,50.8,30,28
Phoenix Suns,2011,57,102.6,8.3,23.6,6.6,4.8,31.3,14.0,47.4,6,15
New York Knicks,2011,60,103.7,9.2,20.7,7.7,5.4,29.2,13.1,46.7,4,18
Golden State Warriors,2011,56,103.3,7.9,22.4,9.0,5.3,29.3,14.0,46.4,5,9
Los Angeles Clippers,2011,54,100.1,6.5,22.5,7.4,5.1,29.6,15.6,46.3,9,20
Charlotte Bobcats,2011,56,92.9,4.5,21.1,6.0,4.7,29.5,13.3,44.6,29,26
Milwaukee Bucks,2011,57,93.0,6.1,20.0,7.9,4.7,30.3,13.3,43.9,28,14
Indiana Pacers,2011,62,99.4,6.2,18.4,7.5,5.1,31.3,15.1,43.5,14,6
Detroit Pistons,2011,55,96.9,5.6,21.3,7.3,3.8,27.4,13.2,38.2,19,30
Utah Jazz,2011,55,98.2,5.0,22.7,7.8,6.1,28.3,15.0,34.5,18,19
Sacramento Kings,2011,59,101.1,5.3,20.8,7.8,4.5,31.2,16.7,33.9,7,11
New Jersey Nets,2011,55,94.1,5.9,22.3,5.9,4.7,29.4,14.3,29.1,27,27
Washington Wizards,2011,56,96.8,4.3,18.8,7.9,6.1,29.6,14.9,26.8,22,9
Cleveland Cavaliers,2011,55,96.4,5.9,21.0,7.1,4.7,29.7,15.0,23.6,24,22
Toronto Raptors,2011,55,96.7,3.8,22.3,7.0,4.8,28.5,14.4,21.8,23,25
Minnesota Timberwolves,2011,54,99.8,7.2,20.1,7.3,4.5,31.5,17.1,20.4,12,13
Orlando Magic,2010,105,100.7,9.8,19.6,6.3,5.3,33.0,14.4,70.5,13,5
Utah Jazz,2010,101,104.0,5.8,25.3,8.4,5.2,30.7,14.7,68.3,5,6
Dallas Mavericks,2010,95,99.8,6.8,23.2,7.6,4.7,31.8,13.5,66.3,15,7
San Antonio Spurs,2010,100,101.5,7.2,22.2,7.1,4.6,31.8,13.2,66.0,10,12
Los Angeles Lakers,2010,114,101.3,6.8,20.9,7.4,5.1,31.4,13.4,65.8,11,9
Boston Celtics,2010,114,97.7,5.6,22.9,8.2,4.6,30.6,15.0,64.0,18,14
Oklahoma City Thunder,2010,96,103.0,5.3,19.9,8.4,5.8,31.3,14.3,62.5,8,1
Denver Nuggets,2010,95,106.8,7.6,20.9,7.9,4.4,30.8,14.4,61.1,2,16
Miami Heat,2010,97,97.3,6.5,19.3,7.2,5.6,32.0,13.9,60.8,21,4
Phoenix Suns,2010,104,107.8,8.4,22.6,6.2,4.9,30.6,14.7,56.7,1,23
Atlanta Hawks,2010,104,96.8,5.9,21.5,6.5,4.5,29.8,12.8,56.7,23,26
Chicago Bulls,2010,96,99.7,5.1,21.5,7.1,5.7,32.6,14.4,56.3,16,2
Cleveland Cavaliers,2010,98,99.1,6.9,21.9,6.6,4.6,32.3,13.9,56.1,17,12
Portland Trail Blazers,2010,94,97.3,5.9,20.8,7.5,4.3,27.6,12.7,54.3,21,29
Milwaukee Bucks,2010,97,94.8,6.8,19.4,7.1,4.9,31.0,13.6,53.6,28,17
Memphis Grizzlies,2010,90,101.1,4.5,19.0,8.7,5.0,30.1,15.4,51.1,12,10
Charlotte Bobcats,2010,95,94.7,5.6,21.0,7.4,6.2,30.4,16.1,49.5,29,8
Houston Rockets,2010,89,104.0,7.9,22.4,7.2,4.4,30.7,14.8,47.2,5,19
New Orleans Hornets,2010,93,97.7,6.1,21.5,7.8,3.8,30.0,13.9,46.2,18,24
Indiana Pacers,2010,89,100.3,8.7,21.5,7.3,5.6,32.4,15.2,44.9,14,3
Toronto Raptors,2010,89,103.5,5.7,22.1,6.8,4.0,30.0,14.5,43.8,7,26
New York Knicks,2010,89,104.3,9.0,21.6,7.3,4.8,30.2,14.6,41.6,4,19
Philadelphia 76ers,2010,90,97.4,5.5,21.6,7.7,4.6,30.9,14.3,36.7,20,15
Golden State Warriors,2010,91,106.1,8.3,22.6,9.2,4.1,29.7,14.8,36.3,3,17
Detroit Pistons,2010,91,95.7,5.5,20.7,7.4,4.0,27.4,13.6,33.0,26,30
Washington Wizards,2010,90,95.1,5.3,19.7,7.0,5.5,28.8,15.5,30.0,27,25
Los Angeles Clippers,2010,91,96.3,6.5,21.9,6.5,5.0,30.6,16.6,28.6,24,22
Minnesota Timberwolves,2010,90,102.2,6.6,20.3,7.2,4.9,31.5,16.9,24.4,9,11
Sacramento Kings,2010,87,96.3,5.5,19.6,6.7,4.8,30.7,15.2,23.0,24,21
New Jersey Nets,2010,90,93.2,5.2,19.0,6.1,4.5,30.1,14.5,22.2,30,28
Los Angeles Lakers,2009,114,104.9,6.6,22.4,8.3,5.3,31.6,13.7,76.3,4,2
Cleveland Cavaliers,2009,106,99.2,7.7,20.4,6.8,5.1,31.7,13.3,74.5,15,9
Orlando Magic,2009,113,101.0,9.8,19.5,6.5,5.1,33.0,14.0,69.0,11,4
Boston Celtics,2009,102,100.7,6.8,23.3,7.7,4.8,31.1,15.0,68.6,12,8
Denver Nuggets,2009,104,106.4,6.5,21.8,8.6,5.6,30.5,14.7,63.5,3,3
Dallas Mavericks,2009,100,102.0,6.8,21.8,7.4,5.3,31.6,12.9,63.0,9,6
Portland Trail Blazers,2009,98,97.7,6.4,19.7,6.3,4.8,29.3,13.4,62.2,21,28
San Antonio Spurs,2009,92,98.8,7.0,21.2,6.2,4.3,32.2,12.9,62.0,16,11
Houston Rockets,2009,103,98.8,7.5,20.4,7.0,4.2,31.3,14.6,61.2,16,13
Utah Jazz,2009,93,102.9,4.7,24.8,8.2,4.2,29.4,14.6,57.0,8,17
Phoenix Suns,2009,92,111.7,7.7,23.9,7.1,5.0,30.5,15.4,56.5,1,12
Atlanta Hawks,2009,100,98.8,6.4,19.9,7.9,4.6,28.9,12.6,56.0,16,23
Chicago Bulls,2009,95,99.5,5.1,21.0,7.1,6.0,31.4,15.1,51.6,13,5
Miami Heat,2009,96,97.1,6.6,19.2,7.4,5.3,29.5,12.6,49.0,25,14
New Orleans Hornets,2009,97,95.9,6.8,19.8,7.0,3.8,29.9,13.4,48.5,27,27
Philadelphia 76ers,2009,97,97.8,5.0,19.9,8.2,5.0,28.2,14.1,45.4,20,23
Oklahoma City Thunder,2009,88,98.4,4.5,20.0,7.9,5.0,30.6,16.1,44.3,19,10
Charlotte Bobcats,2009,88,93.9,5.8,20.6,7.5,4.9,29.3,16.7,43.2,29,21
Toronto Raptors,2009,91,101.2,5.6,21.8,6.4,4.8,30.4,13.9,42.9,10,22
Indiana Pacers,2009,89,103.4,7.9,20.8,7.0,5.8,32.5,14.9,42.7,5,1
New York Knicks,2009,90,103.3,9.5,20.7,7.7,3.4,30.9,14.2,40.0,6,16
Milwaukee Bucks,2009,87,99.4,7.5,22.4,7.4,4.0,28.7,13.8,39.1,14,29
Golden State Warriors,2009,87,109.5,6.7,21.7,8.5,5.6,30.1,15.4,36.8,2,7
Detroit Pistons,2009,96,92.8,4.2,18.8,6.0,4.0,29.0,12.9,36.5,30,30
Memphis Grizzlies,2009,89,97.2,4.4,18.3,7.7,4.9,29.2,16.3,36.0,24,17
Los Angeles Clippers,2009,90,96.5,6.4,22.3,7.1,5.8,29.2,15.4,33.3,26,15
Minnesota Timberwolves,2009,92,97.7,6.0,19.7,7.1,3.6,30.5,15.2,30.4,21,25
Washington Wizards,2009,90,97.6,5.0,19.3,7.5,4.8,29.5,14.7,30.0,23,17
Sacramento Kings,2009,88,103.3,7.6,20.0,7.1,4.3,29.4,15.5,28.4,6,26
New Jersey Nets,2009,89,94.5,6.3,19.3,7.4,5.0,29.4,14.3,25.8,28,17
Boston Celtics,2008,120,98.9,6.4,21.9,8.3,4.8,31.1,15.2,75.0,14,5
Los Angeles Lakers,2008,110,106.8,7.6,23.6,8.2,5.4,32.4,14.0,74.5,3,2
Houston Rockets,2008,96,97.0,7.3,20.6,6.8,4.4,32.4,13.5,70.8,19,10
New Orleans Hornets,2008,98,100.0,7.5,21.4,7.9,4.1,30.3,11.7,70.4,10,15
Orlando Magic,2008,97,102.7,9.8,19.7,6.7,4.9,32.0,14.1,67.0,7,9
Detroit Pistons,2008,106,94.3,5.5,21.1,7.2,5.7,29.0,12.5,66.0,27,19
Cleveland Cavaliers,2008,102,96.9,6.8,20.6,7.0,5.5,30.9,13.5,65.7,20,11
Utah Jazz,2008,101,103.5,5.2,25.4,8.6,4.8,29.5,14.9,65.3,5,13
San Antonio Spurs,2008,108,94.3,7.4,20.8,6.0,4.2,32.0,12.6,62.0,27,16
Phoenix Suns,2008,93,106.4,7.6,23.4,6.2,5.7,32.2,15.5,61.3,4,7
Denver Nuggets,2008,95,108.4,6.8,23.8,8.9,6.2,31.9,14.5,61.1,2,1
Dallas Mavericks,2008,95,100.0,6.5,21.3,6.4,4.9,32.9,13.1,57.9,10,5
Portland Trail Blazers,2008,90,96.5,7.2,20.9,6.4,4.9,29.1,12.8,52.2,23,27
Atlanta Hawks,2008,100,98.5,6.1,21.8,6.6,5.3,29.8,14.4,51.0,15,20
Philadelphia 76ers,2008,95,96.7,3.5,20.1,8.8,4.6,29.0,14.5,47.4,22,14
Golden State Warriors,2008,89,109.5,7.9,21.2,9.0,5.5,30.4,14.1,47.2,1,4
Chicago Bulls,2008,93,99.6,6.2,21.2,7.7,5.5,30.6,15.1,43.0,12,8
Toronto Raptors,2008,93,99.6,6.7,23.6,7.1,4.4,30.1,12.4,41.9,12,23
New Jersey Nets,2008,90,98.5,6.7,21.5,6.6,4.8,30.3,14.2,41.1,15,20
Washington Wizards,2008,96,95.6,6.4,19.5,7.7,4.5,28.6,13.4,39.6,25,25
Indiana Pacers,2008,89,103.0,8.5,22.2,7.6,5.1,32.7,15.4,39.3,6,3
Sacramento Kings,2008,93,101.3,5.9,19.7,7.5,4.2,29.8,16.0,38.7,8,24
Charlotte Bobcats,2008,93,95.5,5.8,20.7,7.4,5.0,29.7,15.0,34.4,26,17
New York Knicks,2008,90,101.2,8.0,20.8,6.7,2.5,31.1,14.7,33.3,9,28
Milwaukee Bucks,2008,93,96.8,5.3,21.2,6.9,3.9,29.4,14.9,33.3,21,30
Minnesota Timberwolves,2008,91,96.4,5.3,20.4,7.2,3.8,29.7,14.2,33.0,24,26
Miami Heat,2008,87,92.2,6.9,20.1,7.5,4.4,28.4,14.1,29.9,30,28
Memphis Grizzlies,2008,92,97.8,6.2,17.8,6.9,4.6,30.2,14.7,28.3,17,20
Los Angeles Clippers,2008,90,93.8,4.5,20.8,7.1,5.2,29.6,14.6,25.6,29,18
Seattle SuperSonics,2008,51,97.2,3.2,21.6,6.2,4.6,32.4,15.6,21.6,18,12
Dallas Mavericks,2007,96,100.5,6.1,19.9,6.8,4.8,31.2,13.7,72.9,7,11
Phoenix Suns,2007,102,109.1,9.0,26.1,7.2,5.4,31.6,14.1,71.6,1,5
San Antonio Spurs,2007,105,97.4,7.5,21.5,6.9,4.9,31.6,13.5,71.4,15,9
Detroit Pistons,2007,108,96.2,5.4,22.3,7.3,5.4,29.0,12.4,67.6,18,21
Toronto Raptors,2007,92,98.6,7.1,22.5,7.2,4.1,30.7,13.0,59.8,12,18
Houston Rockets,2007,94,96.5,7.8,20.8,7.5,4.2,32.3,14.1,56.4,17,7
Utah Jazz,2007,108,101.6,4.1,24.5,8.0,4.2,29.4,15.6,54.6,6,22
